party_communist_0_AIN;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_CHO;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_CHO;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_CHO;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_CHO;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_CHO;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_CHO;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_CHO;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_CHO;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_KAG;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_KAG;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_KAG;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_KAG;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_KAG;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_KAG;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_KAG;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_KAG;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_SAT;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_SAT;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_SAT;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_SAT;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_SAT;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_SAT;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_SAT;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_SAT;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_SED;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_SED;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_SED;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_SED;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_SED;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_SED;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_SED;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_SED;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_TKG;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_TKG;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_TKG;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_TKG;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_TKG;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_TKG;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_TKG;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_TKG;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_TOS;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_TOS;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_TOS;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_TOS;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_TOS;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_TOS;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_TOS;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_TOS;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_YZW;Liberal Democratic;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_YZW;Japan Innovation Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_YZW;Democratic Party of Japan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_YZW;People's Life Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_YZW;Komeito;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_YZW;Party for Future Generations;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_YZW;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_YZW;Japanese Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_AKH;United Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_AKH;PARNAS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_AKH;Just Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_AKH;Yabloko;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_AKH;Liberal Democratic Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_AKH;Rodina;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_AKH;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_AKH;People's Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_AKH;"Interregional movement ""Unity""";;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_AKH;Fatherland - All Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_AKH;Regions of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_AKH;Agrarian party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_AKH;Union of Right Forces;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_AKH;Democratic party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_3_AKH;Right Cause;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_AKH;Our Home - Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_AKH;Democratic choice of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_4_AKH;Party of Russian Unity and Accord;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_AKH;Patriots of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_CPL;Stronnictwo Ludowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_CPL;Porozumienie Centrum;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_CPL;Polskie Stronnictwo Ludowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_CPL;Stronnictwo Demokratyczne;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_CPL;Unia Demokratyczna;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_CPL;Unia Wolnosci;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_CPL;Platforma Obywatelska;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_CPL;Polska Partia Socjalistyczna;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_CPL;Socjaldemokracja Rzeczypospolitej Polskiej;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_CPL;Zjednoczona Lewica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_CPL;Partia Razem;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_CPL;Twуj Ruch;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_CPL;Nowoczesna Ryszarda Petru;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_CPL;Stronnictwo Narodowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_CPL;Prawo i Sprawiedliwosc;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_2_CPL;Samoobrona Rzeczypospolitej Polskiej;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_3_CPL;Ruch Narodowy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_4_CPL;KORWiN;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_CPL;Polska Partia Robotnicza;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_1_CPL;Polska Zjednoczona Partia Robotnicza;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_2_CPL;Komunistyczna Partia Polski;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_DON;United Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_DON;PARNAS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_DON;Just Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_DON;Yabloko;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_DON;Liberal Democratic Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_DON;Rodina;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_DON;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_DON;People's Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_DON;"Interregional movement ""Unity""";;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_DON;Fatherland - All Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_DON;Regions of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_DON;Agrarian party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_DON;Union of Right Forces;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_DON;Democratic party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_3_DON;Right Cause;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_DON;Our Home - Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_DON;Democratic choice of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_4_DON;Party of Russian Unity and Accord;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_DON;Patriots of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_KKA;United Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_KKA;PARNAS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_KKA;Just Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_KKA;Yabloko;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_KKA;Liberal Democratic Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_KKA;Rodina;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_KKA;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_KKA;People's Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_KKA;"Interregional movement ""Unity""";;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_KKA;Fatherland - All Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_KKA;Regions of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_KKA;Agrarian party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_KKA;Union of Right Forces;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_KKA;Democratic party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_3_KKA;Right Cause;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_KKA;Our Home - Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_KKA;Democratic choice of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_4_KKA;Party of Russian Unity and Accord;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_KKA;Patriots of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_URA;United Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_URA;PARNAS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_URA;Just Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_URA;Yabloko;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_URA;Liberal Democratic Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_URA;Rodina;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_URA;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_URA;People's Party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_URA;"Interregional movement ""Unity""";;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_URA;Fatherland - All Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_URA;Regions of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_URA;Agrarian party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_URA;Union of Right Forces;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_URA;Democratic party of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_3_URA;Right Cause;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_URA;Our Home - Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_URA;Democratic choice of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_4_URA;Party of Russian Unity and Accord;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_URA;Patriots of Russia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ALS;Mouvement rйpublicain populaire;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_ALS;Rassemblement pour la Rйpublique;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ALS;Union pour la dйmocratie francaise;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ALS;Section franзaise de l'internationale ouvriиre;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_ALS;Parti socialiste francais;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ALS;Europe Ecology  The Greens;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ALS;National Front;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_1_ALS;Hunting, Fishing, Nature, Tradition;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ALS;National Centre of Independents and Peasants;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ALS;Parti communiste francais;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_BAN;Union CDU/CSU;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_BAN;ALFA;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_BAN;Freie Waehler;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_BAN;FDP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_BAN;Piratenpartei;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_BAN;SPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_BAN;Linkspartei/PDS;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_BAN;Die Linke;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_BAN;Die Gruenen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_BAN;Buendnis 90/Die Gruenen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_BAN;Sozialistische Reichspartei;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_BAN;Partei Bibeltreuer Christen;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_2_BAN;Buendnis C;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_3_BAN;NPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_4_BAN;AfD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_BAN;Fraktion Kalifatstaat;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_1_BAN;Politische Salafisten;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_BAN;KPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_1_BAN;DKP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_2_BAN;MLPD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_BKV;Right Romania Alliance;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_BKV;PNL-PC;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_BKV;PSD;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_BKV;PSD progressive;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_BKV;People's Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_hungarian_BKV;Democratic Union of Hungarians in Romania;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_BKV;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_BKV;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_DLM;HDZ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_DLM;Croatian People's Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_DLM;Social Democratic Party of Croatia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_DLM;Social Democratic Party of Croatia progressive;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_DLM;Croatian Party of Rights;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_DLM;Traditionalist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_DLM;Croatian Labourists;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_DNB;Christian Electoral Community;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_DNB;ЦVP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_DNB;SPЦ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_DNB;Green Alternative;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_DNB;European Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_1_DNB;FPЦ;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_DNB;Central Council of Muslims;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_DNB;Communist Party of Austria;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_ENL;Conservative;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_ENL;Liberal Democratic Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_ENL;Labour;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_ENL;Greens;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_scottish_ENL;SNP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_ENL;UKIP;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_ENL;Traditionalist Tories;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_1_ENL;Cornerstone Group;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_ENL;Communist Party;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_GLM;Stronnictwo Ludowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_1_GLM;Porozumienie Centrum;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_2_GLM;Polskie Stronnictwo Ludowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_0_GLM;Stronnictwo Demokratyczne;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_1_GLM;Unia Demokratyczna;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_2_GLM;Unia Wolnosci;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_liberal_3_GLM;Platforma Obywatelska;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_0_GLM;Polska Partia Socjalistyczna;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_1_GLM;Socjaldemokracja Rzeczypospolitej Polskiej;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_2_GLM;Zjednoczona Lewica;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_socialist_3_GLM;Partia Razem;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_0_GLM;Twуj Ruch;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_progressive_1_GLM;Nowoczesna Ryszarda Petru;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_0_GLM;Stronnictwo Narodowe;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_traditionalist_0_GLM;Prawo i Sprawiedliwosc;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_2_GLM;Samoobrona Rzeczypospolitej Polskiej;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_3_GLM;Ruch Narodowy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_populist_4_GLM;KORWiN;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_0_GLM;Polska Partia Robotnicza;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_1_GLM;Polska Zjednoczona Partia Robotnicza;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_communist_2_GLM;Komunistyczna Partia Polski;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
party_conservative_0_IBR;Alianza Popular;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
