#country;infantry;motorized_infantry;mechanized_infantry;tank;artillery;bomber;fighter;carriers;transportship;cruisser;destroyer;frigate;patrolboat;submarine;ports;military_base
New Zealand;0;56000;;0;;;0;0;0;0;0;0;3;0;;
Nicaragua;8000;16000;;0;;;0;0;0;0;0;0;0;0;2198;
Norway;0;80000;;0;;;0;0;0;0;0;0;4;0;;
Oman;0;0;;0;;;0;0;0;0;0;0;0;0;;
Panama;24000;16000;;0;;;0;0;0;0;0;0;3;0;;
Paraguay;32000;24000;;0;;;0;0;0;0;0;0;0;0;;
Peru;160000;24000;;0;;;0;0;0;0;0;0;2;0;;
Poland;320000;320000;;0;;;0;0;0;0;0;0;5;0;Danzig;
Portugal;80000;128000;;0;;;0;0;4;4;0;0;5;0;;
Qatar;0;0;;0;;;0;0;0;0;0;0;0;0;;
Romania;240000;184000;;0;;;0;0;0;0;1;0;6;0;Constanta;
Russia;0;3600000;;106000;;;2000;0;2;2;25;4;60;52;St Petersburg,Kola,Konigsberg,Novorossiysk,HaIshenwai,Petropavlovsk;Moscow,St Petersburg, 695, Pritzwalk, Odessa, Poti, Samarkand, Alma Ata, Ulusamudan, Chita
Saudi Arabia;0;0;;0;;;0;0;0;0;0;0;0;0;Jidda;
Serbia;0;0;;0;;;0;0;0;0;0;0;0;0;Kotor;
South Africa;0;0;;0;;;0;0;0;0;0;0;0;0;Cape Town;
Spain;0;344000;;0;;;0;0;5;5;4;3;10;2;La Coruna,Cadiz,Cartagena,Canary Islands;
Sweden;0;184000;;0;;;0;0;0;0;0;0;10;0;;
Switzerland;80000;56000;;0;;;0;0;0;0;0;0;0;0;;
Syria;40000;40000;;0;;;0;0;0;0;0;0;1;0;Aleppo;
Republic of China;3200000;0;;0;;;0;0;0;0;1;2;5;0;Taibei;
Thailand;264000;264000;;0;;;0;0;0;0;0;0;5;0;;
Tibet;24000;0;;0;;;0;0;0;0;0;0;0;0;;
Turkey;240000;320000;;0;;;0;0;1;1;0;0;9;0;Istanbul;
United Arab Emirates;0;0;;0;;;0;0;0;0;0;0;0;0;;
United Kingdom;0;728000;;47000;;;5000;41;102;90;291;20;40;238;Plymouth, Southampton, Glasgow, Diego Garcia, Gibraltar, Falkland Islands, Ascension,Liverpool;London, Hull, Glasgow, Hamburg, 1755, Nairobi, Lagos, Aden, Bombay, Delhi, Lahore, Calcutta, Rangoon, Singapore, Khartoum
United States;0;1040000;;102000;;;10000;124;48;350;349;20;40;245;San Diego,Seattle,Hawaii,Guam,San Antonio,New Orleans,Biloxi,Charleston,Tallahassee,Savannah,Norfolk,Washington,Trenton,Lewiston;
Uruguay;0;24000;;0;;;0;0;0;0;0;0;0;0;;
Venezuela;80000;56000;;0;;;0;0;0;0;0;0;3;0;;
Vietnam;160000;0;;0;;;0;0;0;0;0;0;0;0;Saigon;
Yemen;80000;56000;;0;;;0;0;0;0;0;0;3;0;Hodeida;
Yugoslavia;240000;160000;;0;;;0;0;0;0;0;0;6;0;Fiume;
